T	Ref-test1a-s1	Ref-test1a-s2	Ref-test1b-s1	Ref-test1b-s2	Ref-test1c-s1	Ref-test1c-s2	Ref-test1d-s1	Ref-test1d-s2	Ref-test1e-s1	Ref-test1e-s2	Ref-test1f-s1	Ref-test1f-s2	Ref-test3-s1	Ref-test3-s2	Ref-test4-s1	Ref-test4-s2	Results-test1a-s1	Results-test1a-s2	Results-test1b-s1	Results-test1b-s2	Results-test1c-s1	Results-test1c-s2	Results-test1d-s1	Results-test1d-s2	Results-test1e-s1	Results-test1e-s2	Results-test1f-s1	Results-test1f-s2	Results-test3-s1	Results-test3-s2	Results-test4-s1	Results-test4-s2
67.0	314.4358	304.20404	313.45786	305.02136	314.64685	303.9968	314.6732	303.98126	314.43814	303.97964	314.43814	304.19534	317.90598	303.2139	317.9084	303.20596	314.978	303.026	315.099	303.509	315.413	303.023	315.431	303.046	315.39	302.918	315.273	303.015	318.396	306.87	318.4	306.863
68.0	314.54718	304.25543	313.5507	305.078	314.76224	304.0467	314.789	304.03107	314.55023	304.02942	314.55023	304.247	318.10452	303.28412	318.10693	303.27612	315.119	303.058	315.245	303.546	315.56	303.055	315.578	303.078	315.536	302.949	315.419	303.047	318.606	306.957	318.61	306.95
69.0	314.65698	304.30655	313.642	305.13416	314.87607	304.0963	314.9033	304.0806	314.66074	304.07892	314.66074	304.29834	318.3022	303.35495	318.30466	303.34683	315.259	303.089	315.39	303.583	315.705	303.086	315.723	303.109	315.681	302.979	315.564	303.078	318.816	307.044	318.82	307.037
70.0	314.7653	304.35733	313.7318	305.18982	314.9884	304.1457	315.01605	304.12988	314.7697	304.12814	314.7697	304.3494	318.49905	303.42636	318.50153	303.41815	315.397	303.12	315.533	303.62	315.849	303.117	315.867	303.141	315.825	303.01	315.707	303.11	319.024	307.131	319.029	307.123
71.0	314.87207	304.40784	313.82016	305.24503	315.09924	304.1948	315.12732	304.1789	314.87714	304.17712	314.87714	304.40012	318.69507	303.49835	318.69757	303.49005	315.535	303.152	315.675	303.657	315.991	303.148	316.01	303.172	315.968	303.04	315.85	303.141	319.233	307.218	319.237	307.21
72.0	314.9774	304.458	313.90704	305.29977	315.20862	304.24362	315.23712	304.22763	314.9831	304.22583	314.9831	304.45056	318.8903	303.5709	318.8928	303.5625	315.672	303.183	315.817	303.693	316.133	303.179	316.152	303.203	316.109	303.07	315.992	303.172	319.44	307.305	319.444	307.297
73.0	315.08124	304.50787	313.9925	305.35406	315.31653	304.29218	315.3455	304.27612	315.08755	304.2743	315.08755	304.50067	319.0847	303.644	319.08722	303.63553	315.807	303.214	315.957	303.729	316.274	303.21	316.292	303.234	316.25	303.099	316.133	303.203	319.647	307.391	319.651	307.383
74.0	315.18365	304.55746	314.07654	305.40787	315.42303	304.34048	315.45242	304.32437	315.19055	304.32248	315.19055	304.55048	319.2783	303.71768	319.28085	303.70914	315.942	303.244	316.096	303.766	316.414	303.241	316.432	303.264	316.39	303.129	316.272	303.234	319.852	307.478	319.857	307.47
75.0	315.28464	304.60672	314.15924	305.4612	315.52814	304.38852	315.55795	304.37234	315.2921	304.37042	315.2921	304.6	319.47113	303.79193	319.4737	303.7833	316.076	303.275	316.234	303.802	316.552	303.271	316.571	303.295	316.528	303.158	316.411	303.265	320.058	307.564	320.063	307.556
76.0	315.38425	304.6557	314.24054	305.51413	315.63184	304.4363	315.6621	304.42004	315.39227	304.4181	315.39227	304.6492	319.66318	303.86673	319.66577	303.858	316.208	303.305	316.372	303.837	316.69	303.301	316.709	303.325	316.666	303.188	316.548	303.295	320.262	307.651	320.267	307.643
77.0	315.48248	304.70435	314.32053	305.56656	315.7342	304.48383	315.7649	304.4675	315.49103	304.46548	315.49103	304.6981	319.85446	303.94208	319.85706	303.93326	316.34	303.335	316.508	303.873	316.827	303.331	316.845	303.356	316.802	303.217	316.685	303.326	320.466	307.737	320.471	307.729
78.0	315.57935	304.75272	314.39923	305.61853	315.83517	304.53107	315.86633	304.51468	315.5884	304.51263	315.5884	304.7467	320.04498	304.01797	320.0476	304.0091	316.471	303.366	316.643	303.909	316.962	303.361	316.981	303.386	316.938	303.246	316.82	303.356	320.669	307.823	320.674	307.815
79.0	315.67487	304.80075	314.47662	305.67007	315.93488	304.57803	315.96646	304.56158	315.68445	304.5595	315.68445	304.79498	320.23474	304.09445	320.2374	304.08545	316.601	303.396	316.777	303.944	317.097	303.391	317.116	303.416	317.072	303.275	316.955	303.386	320.872	307.909	320.877	307.901
80.0	315.7691	304.8485	314.55276	305.72113	316.03323	304.62476	316.06528	304.60825	315.77914	304.60614	315.77914	304.84296	320.4238	304.17145	320.42645	304.16238	316.73	303.425	316.911	303.979	317.231	303.421	317.249	303.446	317.205	303.304	317.088	303.416	321.074	307.995	321.079	307.987
81.0	315.862	304.89594	314.62766	305.77176	316.1303	304.6712	316.16278	304.65466	315.87256	304.6525	315.87256	304.89066	320.6121	304.249	320.61478	304.23984	316.858	303.455	317.043	304.014	317.363	303.45	317.382	303.475	317.338	303.333	317.221	303.446	321.275	308.081	321.28	308.073
82.0	315.95367	304.94308	314.70132	305.82196	316.22614	304.71738	316.25903	304.70078	315.96466	304.69858	315.96466	304.93802	320.79965	304.32706	320.80237	304.31784	316.985	303.485	317.174	304.049	317.495	303.48	317.514	303.505	317.47	303.361	317.352	303.475	321.475	308.167	321.481	308.159
83.0	316.04404	304.98993	314.7738	305.8717	316.32068	304.7633	316.35403	304.74664	316.05548	304.74442	316.05548	304.98508	320.9865	304.40567	320.98923	304.3964	317.111	303.514	317.305	304.084	317.626	303.509	317.645	303.534	317.6	303.389	317.483	303.505	321.675	308.253	321.68	308.245
84.0	316.1332	305.03647	314.84512	305.921	316.414	304.80896	316.4478	304.79227	316.14505	304.78998	316.14505	305.03186	321.17267	304.48483	321.17538	304.47546	317.236	303.543	317.434	304.118	317.755	303.538	317.775	303.564	317.73	303.418	317.613	303.534	321.874	308.339	321.88	308.331
85.0	316.22113	305.0827	314.91525	305.96985	316.50613	304.85434	316.54037	304.83762	316.2334	304.8353	316.2334	305.0783	321.35812	304.5645	321.36087	304.55505	317.36	303.572	317.563	304.153	317.884	303.567	317.903	303.593	317.858	303.446	317.741	303.563	322.073	308.424	322.078	308.416
